Application                                                  Testcase           xsd  xml-compare        xpath
Bizagi Modeler 2.8.0.8                                       B.2.0                6         1370           16
Bonita BPM 7.2.3                                             C.1.0                5          139           63
Bonita BPM 7.2.3                                             A.3.0                5           54           17
Bonita BPM 7.2.3                                             A.4.1                9          103           44
Bonita BPM 7.2.3                                             A.2.0                1           53           42
Bonita BPM 7.2.3                                             C.2.0                3          176           56
Bonita BPM 7.2.3                                             A.4.0                5           94           34
Bonita BPM 7.2.3                                             B.1.0               13          158           46
Bonita BPM 7.2.3                                             A.1.0                1           37           20
Bonita BPM 7.2.3                                             C.1.1                1           89           60
Bonita BPM 7.2.3                                             B.2.0               37          409          140
Bonita BPM 7.2.3                                             C.3.0                5          101           32
ModelFoundry 1.1.1                                           C.1.0               25          382           49
ModelFoundry 1.1.1                                           A.3.0                6           65            0
ModelFoundry 1.1.1                                           A.4.1                6          186           16
ModelFoundry 1.1.1                                           A.2.0                0           55            0
ModelFoundry 1.1.1                                           C.2.0               21          295            4
ModelFoundry 1.1.1                                           A.4.0                3          127            0
ModelFoundry 1.1.1                                           B.1.0               14          171            2
ModelFoundry 1.1.1                                           A.1.0                0           28            0
ModelFoundry 1.1.1                                           C.1.1               23          259           28
ModelFoundry 1.1.1                                           B.2.0               94          579           26
ModelFoundry 1.1.1                                           C.3.0               11          335           32
Yaoqiang BPMN Editor 4.0                                     C.1.0                0           24            0
Yaoqiang BPMN Editor 4.0                                     A.3.0                0           75            0
Yaoqiang BPMN Editor 4.0                                     A.4.1                0          149           18
Yaoqiang BPMN Editor 4.0                                     A.2.0                0           70            0
Yaoqiang BPMN Editor 4.0                                     A.4.0                0          106            0
Yaoqiang BPMN Editor 4.0                                     B.1.0                0          162            0
Yaoqiang BPMN Editor 4.0                                     A.1.0                0           39            0
Yaoqiang BPMN Editor 4.0                                     B.2.0                0          591            0
MID bpanda 2019.05.0.8393                                    C.1.0                0          457            3
MID bpanda 2019.05.0.8393                                    A.3.0                0          166            0
MID bpanda 2019.05.0.8393                                    A.4.1                0           94            0
MID bpanda 2019.05.0.8393                                    A.2.0                0          156            0
MID bpanda 2019.05.0.8393                                    C.2.0                0          237            0
MID bpanda 2019.05.0.8393                                    A.4.0                0          289            0
MID bpanda 2019.05.0.8393                                    B.1.0                0          516            2
MID bpanda 2019.05.0.8393                                    A.1.0                0           79            0
MID bpanda 2019.05.0.8393                                    C.1.1                0          270            5
MID bpanda 2019.05.0.8393                                    B.2.0                0         1575            0
MID bpanda 2019.05.0.8393                                    C.3.0                0          305            0
Visual Paradigm 11.1                                         C.1.0                0          481           63
Visual Paradigm 11.1                                         A.3.0                0          128           25
Visual Paradigm 11.1                                         A.4.1                0          266           40
Visual Paradigm 11.1                                         A.2.0                0          129           26
Visual Paradigm 11.1                                         A.4.0                0          279           42
Visual Paradigm 11.1                                         B.1.0                0           98           77
Visual Paradigm 11.1                                         A.1.0                0           66           12
Visual Paradigm 11.1                                         B.2.0                0          221          198
Reference                                                    C.3.0                0            0            0
Reference                                                    A.4.0                0            0            0
Reference                                                    B.2.0                0            0            0
Reference                                                    B.1.0                0            0            1
Reference                                                    A.3.0                0            0            0
Reference                                                    C.2.0                0            0            0
Reference                                                    A.2.0                0            0            0
Reference                                                    A.1.0                0            0            0
Reference                                                    C.1.0                0            0            0
Reference                                                    C.4.0                0            0          107
Reference                                                    C.1.1                0            0            0
Reference                                                    A.4.1                0            0            0
ADONIS NP 10.0                                               C.1.0                0          383           48
ADONIS NP 10.0                                               A.3.0                0           62           17
ADONIS NP 10.0                                               A.4.1                0          234           17
ADONIS NP 10.0                                               A.2.0                0           81            7
ADONIS NP 10.0                                               C.2.0                0          263            0
ADONIS NP 10.0                                               C.4.0                0          737           85
ADONIS NP 10.0                                               A.4.0                0          144            0
ADONIS NP 10.0                                               B.1.0                0          295            0
ADONIS NP 10.0                                               A.1.0                0           40            0
ADONIS NP 10.0                                               C.1.1                0          255           20
ADONIS NP 10.0                                               B.2.0                0          913            1
ADONIS NP 10.0                                               C.3.0                0          217           31
